"ZIP","ZIP_COVERED","SVI","POV","UNEMP","PCI","NOHSDP","AGE65","AGE17","DISABL","SNGPNT","MINRTY","LIMENG","MUNIT","MOBILE","CROWD","NOVEH","GROUPQ","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
"73960",1,0.5325,15.2,0.9,26335,23.5,14.2,23.2,15.9,6.6,43.7,7.5,1.4,11.4,4.5,2.3,1,0.4183,0.4988,0.53,0.68
"75001",0.999999999,0.1338449025792,9.4361797232,3.7527864355,48352.39757573,6.4113056594,7.2363076616,13.2353401938,4.1875029939,5.3898616695,56.3276084728,8.5684256745,61.1106499769,7.19595e-05,3.1414487848,1.7248101027,3.1982e-05,0.1901694008002,0.0329879666487,0.6097128721749,0.2232154789195
"75002",0.999999999,0.1756251835641,6.247849563,4.1580717145,41182.966574028,5.6365349417,10.7393737417,27.417731363,8.3533931608,6.7241359686,36.0005807171,3.3830158733,7.8306136611,0.7051334063,2.2929902911,2.0153271329,0.2295171179,0.1914743204554,0.2741959792069,0.3396711240904,0.2171508790562
"75006",0.999999999,0.4029818689864,12.0852285916,3.9313962334,31382.989276759,20.4676616239,12.2331933924,24.0682862723,7.0232706919,7.9317648618,63.9269468104,10.4468127357,20.2371511522,0.9591521553,6.0388408055,2.9312835959,0.61598996,0.4222264596935,0.2108995693145,0.6285672715196,0.4163941571441
"75007",0.999999999,0.2447478329398,7.6623849697,3.5658274885,36949.547127602,9.8347685115,11.2510942502,22.4459209264,7.895823195,8.9322223805,53.1095789414,5.5957659879,11.8620607298,0.4084012782,2.5543556019,2.2620798153,0.3206551272,0.2454309302309,0.1954399751188,0.4938314402438,0.3150699993325
"75009",1,0.1710801074983,3.9129312123,2.4412311506,45833.939571669,6.8958686245,10.3026337548,30.4469944222,7.4330716804,5.4207911613,27.3372443785,3.4312022332,0.4616504808,3.2769262595,1.7046684572,1.052323901,0.8289816156,0.0875916443115,0.2354123529504,0.3065242307048,0.3382087482572
"75010",0.999999999,0.1782092304372,6.3426534351,3.146972512,45924.278395302,6.040180471,7.740724659,24.3574567494,4.3506922856,5.8836743039,56.99653505,3.9940139107,29.433939519,2.9140387114,3.0751739326,1.7755528005,0.2067989249,0.1490488873583,0.0632783149522,0.4973868563293,0.3509233311628
"75011",1,0.4128629294312,8.7583603379,5.1723914458,31469.743678361,15.5895657832,10.0257939078,29.4090408303,4.9380103693,9.0606286459,61.5986066135,10.3683084914,7.6180816606,0.7493195076,5.6823395993,0.8117627999,0.1,0.4127050551566,0.2580648736466,0.6178972456665,0.4300515554895
"75013",1,0.129671720945,4.1527010452,3.4275066515,51409.475804211,2.8521945973,8.145528955,29.1795784738,5.101104971,6.7273071412,41.1438510338,2.5614538577,19.1966134682,0.1572539388,1.7470892171,1.8738285246,0.2762584413,0.0853024811239,0.179488684236,0.3436261408052,0.238335768461
"75014",1,0.1223,6.9,4.8,60752,1.3,1.7,11.7,3.9,3,60.1,3.3,94.8,0.5,5.7,1.6,0,0.133,0.0052,0.5015,0.4834
"75015",1,0.6204,17.7,2.4,25316,33,10.2,23.4,15.5,9.9,72.5,20.8,38.9,0,6.6,15.1,0,0.5331,0.4702,0.7898,0.6025
"75016",1,0.6075,21.9,2.9,20765,15.7,1.6,33.2,3,19.5,92.8,13.5,44.1,0,5.8,11.1,0,0.5444,0.3733,0.8527,0.553
"75017",1,0.6204,17.7,2.4,25316,33,10.2,23.4,15.5,9.9,72.5,20.8,38.9,0,6.6,15.1,0,0.5331,0.4702,0.7898,0.6025
"75019",1,0.0816421506254,3.6931516804,3.0310124265,54684.456976245,2.6811762248,8.3879569397,26.065072029,5.0333367979,6.3690655751,47.2189693754,1.6954656543,14.1345171589,2.3204461613,1.0630076436,1.5710883441,0.0953980542,0.065533087109,0.1129168010879,0.3266288908627,0.1753068273447
"75020",1,0.5275402883736,14.5238213713,7.9260757729,26808.027854636,10.3362677885,19.5735813514,23.4130293152,20.2301045791,8.8637665071,22.3355477518,1.7784416265,5.7316303995,4.6789130824,2.9792731044,9.1215583809,1.9694668292,0.5028761787102,0.763869861407,0.1564196983452,0.6188225962089
"75021",0.999999999,0.5007071190426,14.2170442091,7.8542071086,25450.547984174,14.2057173548,15.6363538147,23.1271844429,20.6875943707,7.7451456218,26.2064185207,1.6889967616,2.8927184356,7.9146709798,2.6367313888,8.3482200495,1.0682308445,0.5507649939086,0.6591840338979,0.1968621896047,0.5332037207971
"75022",1.000000001,0.0648811278728,3.7750106222,3.8503929495,60963.234850011,2.3711554839,8.1836236336,29.3072430078,6.1507540447,4.091100264,27.6103653585,1.2027187765,3.307476654,1.3149107913,1.3165569251,1.2568394243,0.4876168217,0.081615378108,0.1097900171787,0.167585853928,0.16298898688
"75023",1.000000001,0.2095005034717,5.9488413601,4.0492377346,40231.819682904,5.5736863553,14.7140563201,20.8550005351,8.9128112676,5.9953145779,40.6384439897,3.8478808879,12.0755564949,0.3595792255,2.5804146831,2.5444608233,0.2556357349,0.1883930738833,0.2104747641164,0.3827906702474,0.3348919558895
"75024",0.999999999,0.1285873435561,4.5735445009,3.6974342171,53299.906956579,2.3235491673,6.846827756,21.3626049435,4.3935715576,4.3415002736,53.7751725649,3.5215198681,46.9347545555,0.2899934682,2.6631647665,4.0756717641,0.1040399328,0.0944903712002,0.0544568948709,0.4472644938836,0.3719068012317
"75025",0.999999999,0.1137621307248,4.4798668728,3.8384946423,48977.896914084,3.4359873818,10.7148883934,26.0964517769,5.9399109178,5.3903362937,47.9971473717,3.7456410709,15.3636022156,0.085516965,1.7430537438,1.6183665283,0.0277449704,0.1131610147513,0.1388864076889,0.4386837047316,0.1472886694658
"75026",1,0.1137,2.2,2.2,45517,1.9,15.5,22.1,9.1,2.1,35.3,1.5,11.8,0.8,6.4,1,0,0.0253,0.1358,0.2418,0.3453
"75027",1,0.0724,2.2,3.1,44521,2.3,12.7,25.8,9.4,3.8,22.4,1.2,29.3,0,0,4.1,0,0.0526,0.2009,0.1362,0.1479
"75028",1.000000001,0.0709940690393,2.9122732941,3.2599752204,47671.142084679,3.9834403585,9.4931959022,26.4957192971,7.1053171179,6.8809282574,27.6309395464,1.3483046093,7.8876422282,0.4631238036,1.0251886925,1.5422271039,0.0480060831,0.0855620425139,0.1726036274752,0.1613894899222,0.1195636928767
"75029",1,0.3339,6.3,3.9,34973,4.4,11.2,23.8,10.9,9.5,46.2,4.1,47.9,0,0,9.9,0.8,0.1798,0.3319,0.4585,0.5768
"75030",1,0.2314,3.7,9.6,34752,10.3,13.2,22.6,11.1,10.8,41,1,0,0,5.5,0.8,0.1,0.3711,0.4158,0.2389,0.1341
"75032",0.999999998,0.1760641403712,5.9044823933,4.5291210299,45803.775940426,8.9286683988,11.9120674304,27.282829559,8.6237479724,6.3293546381,28.67118552,2.5744488197,3.9458023005,6.2635640036,1.5769820382,3.0057526587,0.1155935172,0.222371352944,0.2643812010954,0.1976955098832,0.2006679000619
"75033",0.999999999,0.0814123034218,2.9879824581,2.7934554958,50135.189114107,3.4725069932,7.0120784023,33.2264945538,5.0621271065,6.7743942416,33.3965846435,1.8973943688,12.0386886468,0.1370388402,1.8331486616,1.3285340268,0.3745586275,0.064215761426,0.1771115605714,0.2338099106718,0.1528067085984
"75034",1,0.2059441093999,6.2958213328,4.4501828635,57947.19542166,5.5241070706,8.6450159517,26.3586685935,5.7361450486,9.8086452439,41.864407467,3.2908256163,34.4072562558,1.6310403875,4.1733717219,3.1467862413,0.0004902336,0.1689732548732,0.2035175785846,0.3501899114609,0.3443064897091
